GroupID,GroupName,MasterCategoryID,MasterCategoryName,CategoryID,CategoryName,SubCategoryID,SubCategoryName,isSubCategory
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,840.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,639.0,Truyện kiếm hiệp,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,665.0,Truyện kinh dị,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,845.0,Truyện ngắn - Tản văn - Tạp Văn,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,1521.0,Truyện ngôn tình,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,664.0,Truyện trinh thám,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,26904.0,Ca Dao - Tục Ngữ - Thành ngữ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,26902.0,Sách ảnh,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,847.0,Bài học kinh doanh,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,483.0,Sách doanh nhân,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,372.0,Sách khởi nghiệp,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,593.0,Sách kinh tế học,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,385.0,Sách kỹ năng làm việc,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,848.0,Sách Marketing - Bán hàng ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,849.0,"Sách quản trị, lãnh đạo",1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,4144.0,Sách quản trị nhân lực,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,846.0,Sách kinh tế,67904.0,Sách tài chính,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,852.0,Đạo đức - Kỹ năng sống,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,853.0,Kiến thức - Bách khoa,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,856.0,Tô màu - Luyện chữ  ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,1753.0,Truyện cổ tích,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,854.0,Truyện kể cho bé,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,6040.0,Truyện tranh Ehon,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,855.0,Truyện tranh thiếu nhi,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,1754.0,Văn học thiếu nhi,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,393.0,Sách thiếu nhi ,67953.0,Sách chuyển động -Tương tác,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,870.0,Sách kỹ năng sống,871.0,Sách tư duy - Kỹ năng sống,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,870.0,Sách kỹ năng sống,716.0,Sách hướng nghiệp,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,870.0,Sách kỹ năng sống,67929.0,Sách kỹ năng mềm,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,870.0,Sách kỹ năng sống,67945.0,Sách tâm lý học,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2527.0,Nuôi dạy con,6138.0,Sách Thai Giáo,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2527.0,Nuôi dạy con,3271.0,Sách Kiến Thức - Kỹ Năng Cho Trẻ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2527.0,Nuôi dạy con,3320.0,Cẩm nang làm cha mẹ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2527.0,Nuôi dạy con,3272.0,Sách Dinh Dưỡng - Sức Khỏe Cho Bé,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2527.0,Nuôi dạy con,68020.0,Giáo dục tuổi teen,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2527.0,Nuôi dạy con,68021.0,Phương pháp giáo dục trẻ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2321.0,Sách Giáo Khoa - Giáo Trình,16660.0,Sách Giáo Khoa Cấp 1,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2321.0,Sách Giáo Khoa - Giáo Trình,16662.0,Sách Giáo Khoa Cấp 2,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2321.0,Sách Giáo Khoa - Giáo Trình,16664.0,Sách Giáo Khoa Cấp 3,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2321.0,Sách Giáo Khoa - Giáo Trình,6991.0,Giáo Trình Đại Học - Cao Đẳng,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,887.0,Sách Học Ngoại Ngữ,1856.0,Sách Học Tiếng Anh,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,887.0,Sách Học Ngoại Ngữ,1524.0,Sách Học Tiếng Nhật,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,887.0,Sách Học Ngoại Ngữ,1526.0,Sách Học Tiếng Hàn,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,887.0,Sách Học Ngoại Ngữ,1881.0,Sách Học Tiếng Hoa,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,887.0,Sách Học Ngoại Ngữ,1527.0,Ngoại Ngữ Khác,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2320.0,Sách Tham Khảo,2248.0,Sách tham khảo cấp I,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2320.0,Sách Tham Khảo,2249.0,Sách tham khảo cấp II,1.0
