Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
275.0,Guidebook series,32.0,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
14924.0,Discovery & Exploration,32.0,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
161.0,Diets - Weight Loss - Nutrition,21.0,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
159.0,Drinks & Beverages,21.0,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
163.0,"Ingredients, Methods & Appliances",21.0,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
14858.0,Regional - International,21.0,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
14860.0,Baking - Desserts,21.0,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
14862.0,Vegetarian & Vegan,21.0,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
4933.0,Du ký,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
7358.0,Light novel,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
5244.0,Phê Bình - Lý Luận Văn Học,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
5245.0,Phóng sự - Ký sự - Bút ký,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
842.0,Tác phẩm kinh điển,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
446.0,Thơ,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
843.0,Tiểu sử - Hồi ký,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
844.0,Tiểu Thuyết,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
8973.0,Tranh Truyện,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
10079.0,Truyện cổ tích - Ngụ ngôn,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
444.0,Truyện cười,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6750.0,Truyện dài,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1367.0,Truyện đam mỹ,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
840.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
639.0,Truyện kiếm hiệp,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
665.0,Truyện kinh dị,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
845.0,Truyện ngắn - Tản văn - Tạp Văn,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1521.0,Truyện ngôn tình,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
664.0,Truyện trinh thám,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
26904.0,Ca dao - Tục ngữ,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
26902.0,Sách ảnh,839.0,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
847.0,Bài học kinh doanh,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
483.0,Sách doanh nhân,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
372.0,Sách khởi nghiệp,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
593.0,Sách kinh tế học,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
385.0,Sách kỹ năng làm việc,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
848.0,Sách Marketing - Bán hàng ,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
849.0,"Sách quản trị, lãnh đạo",846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
4144.0,Sách quản trị nhân lực,846.0,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
