InventoryID,ProductID,Status,Type,LastUpdated
103,273495791,available,backorder,2024-05-15 22:34:25.131965
104,190725464,available,backorder,2024-05-15 22:34:25.131965
105,273495615,available,backorder,2024-05-15 22:34:25.131965
106,248808510,available,backorder,2024-05-15 22:34:25.131965
107,225917309,available,backorder,2024-05-15 22:34:25.131965
108,248810963,available,backorder,2024-05-15 22:34:25.131965
109,205999091,available,backorder,2024-05-15 22:34:25.131965
110,206051973,available,backorder,2024-05-15 22:34:25.131965
111,186584312,available,backorder,2024-05-15 22:34:25.131965
112,273519208,available,backorder,2024-05-15 22:34:25.131965
113,251547184,available,backorder,2024-05-15 22:34:25.131965
114,199691055,available,backorder,2024-05-15 22:34:25.131965
115,249035977,available,backorder,2024-05-15 22:34:25.131965
116,210941886,available,backorder,2024-05-15 22:34:25.131965
117,195902379,available,backorder,2024-05-15 22:34:25.131965
118,205962360,available,backorder,2024-05-15 22:34:25.131965
119,225917324,available,backorder,2024-05-15 22:34:25.131965
120,225917269,available,backorder,2024-05-15 22:34:25.131965
121,252064720,available,backorder,2024-05-15 22:34:25.131965
122,273520871,available,backorder,2024-05-15 22:34:25.131965
123,273523285,available,backorder,2024-05-15 22:34:25.131965
124,198995750,available,backorder,2024-05-15 22:34:25.131965
125,273498232,available,backorder,2024-05-15 22:34:25.131965
126,274754596,available,backorder,2024-05-15 22:34:25.131965
127,210941894,available,backorder,2024-05-15 22:34:25.131965
128,273458720,available,backorder,2024-05-15 22:34:25.131965
129,190725441,available,backorder,2024-05-15 22:34:25.131965
130,213755302,available,backorder,2024-05-15 22:34:25.131965
131,271389249,available,backorder,2024-05-15 22:34:25.131965
132,253414659,available,backorder,2024-05-15 22:34:25.131965
133,213867594,available,backorder,2024-05-15 22:34:25.131965
134,273292838,available,backorder,2024-05-15 22:34:25.131965
135,274033248,available,backorder,2024-05-15 22:34:25.131965
136,273645750,available,backorder,2024-05-15 22:34:25.131965
137,214615800,available,backorder,2024-05-15 22:34:25.131965
138,210941895,available,backorder,2024-05-15 22:34:25.131965
139,210941902,available,backorder,2024-05-15 22:34:25.131965
140,210941887,available,backorder,2024-05-15 22:34:25.131965
141,210941891,available,backorder,2024-05-15 22:34:25.131965
142,198592308,available,backorder,2024-05-15 22:34:25.131965
143,271382436,available,backorder,2024-05-15 22:34:25.131965
144,214944753,available,backorder,2024-05-15 22:34:25.131965
145,214956101,available,backorder,2024-05-15 22:34:25.131965
146,203790066,available,backorder,2024-05-15 22:34:25.131965
147,195902569,available,backorder,2024-05-15 22:34:25.131965
148,225917347,available,backorder,2024-05-15 22:34:25.131965
149,225917253,available,backorder,2024-05-15 22:34:25.131965
150,273465024,available,backorder,2024-05-15 22:34:25.131965
151,273503426,available,backorder,2024-05-15 22:34:25.131965
152,198462692,available,backorder,2024-05-15 22:34:25.131965
