GeneralFeedbackID,OneStar,TwoStar,ThreeStar,FourStar,FiveStar,ReviewCount,LastUpdated
18745518,1,0,0,0,0,1,2024-05-15 22:34:25.140024
18847881,0,0,0,0,2,2,2024-05-15 22:34:25.140024
19021408,0,0,0,0,2,2,2024-05-15 22:34:25.140024
19617557,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19874308,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18230978,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15725112,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15009554,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15635386,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16549784,16,4,8,30,202,260,2024-05-15 22:34:25.140024
17416018,16,4,8,30,202,260,2024-05-15 22:34:25.140024
13315813,16,4,8,30,202,260,2024-05-15 22:34:25.140024
12794284,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19229975,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18330059,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18193875,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16192447,16,4,8,30,202,260,2024-05-15 22:34:25.140024
11733111,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19225847,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16181661,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18069390,16,4,8,30,202,260,2024-05-15 22:34:25.140024
17928726,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15426176,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18904686,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16236291,16,4,8,30,202,260,2024-05-15 22:34:25.140024
4402557,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15158601,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16375116,16,4,8,30,202,260,2024-05-15 22:34:25.140024
13365585,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19844936,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19608914,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19817869,16,4,8,30,202,260,2024-05-15 22:34:25.140024
17975328,16,4,8,30,202,260,2024-05-15 22:34:25.140024
11315791,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19781713,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19772809,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19756230,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19704503,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19682524,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16979173,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19642282,16,4,8,30,202,260,2024-05-15 22:34:25.140024
3516014,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15222394,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16277416,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19592158,16,4,8,30,202,260,2024-05-15 22:34:25.140024
15780567,16,4,8,30,202,260,2024-05-15 22:34:25.140024
9196216,16,4,8,30,202,260,2024-05-15 22:34:25.140024
17632776,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18033467,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16246024,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18722511,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19170603,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19498950,16,4,8,30,202,260,2024-05-15 22:34:25.140024
14625478,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19052908,16,4,8,30,202,260,2024-05-15 22:34:25.140024
18076075,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19357886,16,4,8,30,202,260,2024-05-15 22:34:25.140024
14035320,16,4,8,30,202,260,2024-05-15 22:34:25.140024
14142388,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19301339,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19383665,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19376965,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19372567,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19349238,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19348959,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19345662,16,4,8,30,202,260,2024-05-15 22:34:25.140024
19343398,16,4,8,30,202,260,2024-05-15 22:34:25.140024
16241711,16,4,8,30,202,260,2024-05-15 22:34:25.140024
