PricingID,ProductID,CurrentPrice,OriginalPrice,LastUpdated
139,210941902,17363000,17363000,2024-05-15 22:34:25.132964
140,210941887,22788000,22788000,2024-05-15 22:34:25.132964
141,210941891,15905000,15905000,2024-05-15 22:34:25.132964
142,198592308,18590000,18590000,2024-05-15 22:34:25.132964
143,271382436,22000000,23390000,2024-05-15 22:34:25.132964
144,214944753,18100000,19390000,2024-05-15 22:34:25.132964
145,214956101,21900000,23390000,2024-05-15 22:34:25.132964
146,203790066,28088400,28088400,2024-05-15 22:34:25.132964
147,195902569,18480000,18480000,2024-05-15 22:34:25.132964
148,225917347,20290000,20290000,2024-05-15 22:34:25.132964
149,225917253,23209200,23209200,2024-05-15 22:34:25.132964
150,273465024,24890000,24890000,2024-05-15 22:34:25.132964
151,273503426,15290000,15290000,2024-05-15 22:34:25.132964
152,198462692,18480000,18480000,2024-05-15 22:34:25.132964
153,251545496,20028000,20028000,2024-05-15 22:34:25.132964
154,198572369,18600000,18600000,2024-05-15 22:34:25.132964
155,248913500,18360000,18360000,2024-05-15 22:34:25.132964
156,274754883,16590000,21290000,2024-05-15 22:34:25.132964
157,203757948,23988000,23988000,2024-05-15 22:34:25.132964
158,201509157,29590000,29590000,2024-05-15 22:34:25.132964
159,274420903,10290000,13190000,2024-05-15 22:34:25.132964
160,253300205,20990000,20990000,2024-05-15 22:34:25.132964
161,225917273,26028000,26028000,2024-05-15 22:34:25.132964
162,193110691,18600000,18600000,2024-05-15 22:34:25.132964
163,273455715,14590000,14590000,2024-05-15 22:34:25.132964
164,201831052,18720000,18720000,2024-05-15 22:34:25.132964
165,189466838,18600000,18600000,2024-05-15 22:34:25.132964
166,155530390,36396000,36396000,2024-05-15 22:34:25.132964
167,273466115,20690000,20690000,2024-05-15 22:34:25.132964
168,127363787,11040000,11040000,2024-05-15 22:34:25.132964
169,225917302,20390000,20390000,2024-05-15 22:34:25.132964
170,271383201,27490000,27490000,2024-05-15 22:34:25.132964
171,189588675,20590000,20590000,2024-05-15 22:34:25.132964
172,273634022,16150000,21490000,2024-05-15 22:34:25.132964
173,214961090,30000000,32290000,2024-05-15 22:34:25.132964
174,271365172,24490000,24490000,2024-05-15 22:34:25.132964
175,225917335,23545200,23545200,2024-05-15 22:34:25.132964
176,213774142,21590000,21590000,2024-05-15 22:34:25.132964
177,273647623,18290000,23990000,2024-05-15 22:34:25.132964
178,249947165,9120000,9120000,2024-05-15 22:34:25.132964
179,273502975,21390000,21390000,2024-05-15 22:34:25.132964
180,225917244,17590000,17590000,2024-05-15 22:34:25.132964
181,225917247,9790000,9790000,2024-05-15 22:34:25.132964
182,273523458,11590000,11590000,2024-05-15 22:34:25.132964
183,273494497,21990000,21990000,2024-05-15 22:34:25.132964
184,273534234,38290000,38290000,2024-05-15 22:34:25.132964
185,248913699,18360000,18360000,2024-05-15 22:34:25.132964
186,273534939,26590000,26590000,2024-05-15 22:34:25.132964
187,195891105,24396000,24396000,2024-05-15 22:34:25.132964
188,252172447,11640000,11640000,2024-05-15 22:34:25.132964
189,248912576,14280000,14280000,2024-05-15 22:34:25.132964
190,273455506,15390000,15390000,2024-05-15 22:34:25.132964
191,274556325,10290000,13190000,2024-05-15 22:34:25.132964
192,198593129,21990000,21990000,2024-05-15 22:34:25.132964
193,225917341,18360000,18360000,2024-05-15 22:34:25.132964
194,195901063,18600000,18600000,2024-05-15 22:34:25.132964
195,273534544,52560000,52560000,2024-05-15 22:34:25.132964
196,273670014,27590000,36490000,2024-05-15 22:34:25.132964
197,204873949,19107600,19107600,2024-05-15 22:34:25.132964
198,189387430,18480000,18480000,2024-05-15 22:34:25.132964
199,205996665,20990000,20990000,2024-05-15 22:34:25.132964
200,225917301,29590000,29590000,2024-05-15 22:34:25.132964
201,251546905,17033000,17033000,2024-05-15 22:34:25.132964
202,216469746,18790000,18790000,2024-05-15 22:34:25.132964
203,216469489,19790000,19790000,2024-05-15 22:34:25.132964
204,208679570,16308000,16308000,2024-05-15 22:34:25.132964
205,210941899,23077200,23077200,2024-05-15 22:34:25.132964
206,214949297,23200000,24590000,2024-05-15 22:34:25.132964
207,273332620,11790000,11790000,2024-05-15 22:34:25.132964
208,271380888,21000000,22290000,2024-05-15 22:34:25.132964
209,225917249,25590000,25590000,2024-05-15 22:34:25.132964
210,214617998,22590000,22590000,2024-05-15 22:34:25.132964
211,214619946,18290000,18290000,2024-05-15 22:34:25.132964
212,273888066,9290000,12990000,2024-05-15 22:34:25.132964
213,273519091,32590000,32590000,2024-05-15 22:34:25.132964
214,167383382,11040000,11040000,2024-05-15 22:34:25.132964
215,186228376,8520000,8520000,2024-05-15 22:34:25.132964
216,273520631,23690000,23690000,2024-05-15 22:34:25.132964
217,199692559,16200000,16200000,2024-05-15 22:34:25.132964
218,174500984,9120000,9120000,2024-05-15 22:34:25.132964
219,273502836,22590000,22590000,2024-05-15 22:34:25.132964
220,273536862,26090000,26090000,2024-05-15 22:34:25.132964
221,273464318,31490000,31490000,2024-05-15 22:34:25.132964
222,252172436,11640000,11640000,2024-05-15 22:34:25.132964
223,249160543,19320000,19320000,2024-05-15 22:34:25.132964
224,273607610,15290000,20790000,2024-05-15 22:34:25.132964
225,206307542,14850000,14850000,2024-05-15 22:34:25.132964
226,273471481,19690000,19690000,2024-05-15 22:34:25.132964
227,225917343,27790000,27790000,2024-05-15 22:34:25.132964
228,192121325,19320000,19320000,2024-05-15 22:34:25.132964
229,273519102,31590000,31590000,2024-05-15 22:34:25.132964
230,249033052,18720000,18720000,2024-05-15 22:34:25.132964
231,248807159,11760000,11760000,2024-05-15 22:34:25.132964
232,210938279,16490000,16490000,2024-05-15 22:34:25.132964
233,273645720,21590000,21590000,2024-05-15 22:34:25.132964
234,213813597,20590000,20590000,2024-05-15 22:34:25.132964
235,248543177,19320000,19320000,2024-05-15 22:34:25.132964
236,201509070,23846000,23846000,2024-05-15 22:34:25.132964
237,205958937,17590000,17590000,2024-05-15 22:34:25.132964
238,225917303,26390000,26390000,2024-05-15 22:34:25.132964
239,189695021,18720000,18720000,2024-05-15 22:34:25.132964
240,214962289,26200000,27790000,2024-05-15 22:34:25.132964
241,214937721,18100000,19390000,2024-05-15 22:34:25.132964
242,215104482,11200000,12050000,2024-05-15 22:34:25.132964
243,273333335,12100000,12790000,2024-05-15 22:34:25.132964
244,273502869,21490000,21490000,2024-05-15 22:34:25.132964
245,248755613,11760000,11760000,2024-05-15 22:34:25.132964
246,273536581,16990000,16990000,2024-05-15 22:34:25.132964
247,273519841,17990000,17990000,2024-05-15 22:34:25.132964
248,130470405,11040000,11040000,2024-05-15 22:34:25.132964
249,273471824,17290000,17290000,2024-05-15 22:34:25.132964
250,273503169,15290000,15290000,2024-05-15 22:34:25.132964
251,251545386,14725000,14725000,2024-05-15 22:34:25.132964
252,274037754,19290000,25190000,2024-05-15 22:34:25.132964
253,273534843,32990000,32990000,2024-05-15 22:34:25.132964
254,192765349,21588000,21588000,2024-05-15 22:34:25.132964
255,274557094,18350000,22990000,2024-05-15 22:34:25.132964
256,248912686,14280000,14280000,2024-05-15 22:34:25.132964
257,272190026,15275000,15275000,2024-05-15 22:34:25.132964
258,273520821,18790000,18790000,2024-05-15 22:34:25.132964
259,225917331,19790000,19790000,2024-05-15 22:34:25.132964
260,190506909,18600000,18600000,2024-05-15 22:34:25.132964
261,199104980,16680000,16680000,2024-05-15 22:34:25.132964
262,225917354,18790000,18790000,2024-05-15 22:34:25.132964
263,274556222,13750000,17690000,2024-05-15 22:34:25.132964
264,273520502,20990000,20990000,2024-05-15 22:34:25.132964
265,249160304,16200000,16200000,2024-05-15 22:34:25.132964
266,201831003,21190000,21190000,2024-05-15 22:34:25.132964
267,225917274,25590000,25590000,2024-05-15 22:34:25.132964
268,274784696,9350000,11990000,2024-05-15 22:34:25.132964
269,273463558,14990000,14990000,2024-05-15 22:34:25.132964
270,225917228,20990000,20990000,2024-05-15 22:34:25.132964
271,252171302,10200000,10200000,2024-05-15 22:34:25.132964
272,273519388,12990000,12990000,2024-05-15 22:34:25.132964
273,249145135,22080000,22080000,2024-05-15 22:34:25.132964
274,273536792,21490000,21490000,2024-05-15 22:34:25.132964
275,273431022,12790000,15990000,2024-05-15 22:34:25.132964
