id,sku,name,url_key,url_path,brand_name,price,list_price,discount,discount_rate,rating_average,review_count,thumbnail_url,productset_id,seller_product_id,bundle_deal,quantity_sold,original_price,shippable,availability,primary_category_path,product_reco_score,seller_id
271046571,8.18E+12,Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,dien-thoai-xiaomi-redmi-note-12-8gb-128gb-hang-chinh-hang-p271046571,dien-thoai-xiaomi-redmi-note-12-8gb-128gb-hang-chinh-hang-p271046571.html?spid=271046584,Xiaomi,3850000,0,680000,15,5,59,https://salt.tikicdn.com/cache/280x280/ts/product/b4/d5/f1/4a79366276241ae12197885eb30d52ec.jpg,2647,271046584,FALSE,"{'text': 'Đã bán 819', 'value': 819}",4530000,TRUE,1,1/2/1789/1795,0,1
273958619,7.50E+12,Điện Thoại Xiaomi Redmi Note 13 6GB-128GB - Hàng chính hãng,dien-thoai-xiaomi-redmi-note-13-6gb-128gb-hang-chinh-hang-p273958619,dien-thoai-xiaomi-redmi-note-13-6gb-128gb-hang-chinh-hang-p273958619.html?spid=273958621,Xiaomi,4890000,0,0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/44/ce/1714153d2e186b9b5bf3f2805380816f.jpg,2647,273958621,FALSE,"{'text': 'Đã bán 5', 'value': 5}",4890000,TRUE,1,1/2/1789/1795,0,20704
274164078,4.44E+12,Máy tính bảng Samsung Galaxy Tab A9 WIFI 4GB-64GB- Hàng chính hãng,may-tinh-bang-samsung-galaxy-tab-a9-wifi-4gb-64gb-hang-chinh-hang-p274164078,may-tinh-bang-samsung-galaxy-tab-a9-wifi-4gb-64gb-hang-chinh-hang-p274164078.html?spid=274164080,Samsung,3990000,0,0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/fd/51/33/01a9175d237eb4bd7894e09d4ff278d5.jpg,2645,274164080,FALSE,,3990000,TRUE,1,1/2/1789/1794,0,20704
173387789,7.83E+12,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,may-doc-sach-all-new-kindle-oasis-3-hang-nhap-khau-p173387789,may-doc-sach-all-new-kindle-oasis-3-hang-nhap-khau-p173387789.html?spid=217500643,Kindle,7200000,0,0,0,5,3,https://salt.tikicdn.com/cache/280x280/ts/product/a7/fc/f9/5c4beccbf706232d467b6a299772c8e9.jpg,2653,217500643,FALSE,"{'text': 'Đã bán 16', 'value': 16}",7200000,TRUE,1,1/2/1789/28856,0,106499
125182567,3.95E+12,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567,may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567.html?spid=125182569,Kindle,3630000,0,0,0,5,378,https://salt.tikicdn.com/cache/280x280/ts/product/14/2f/c6/a161edd03cf817a13d4c3255d1467f0a.jpg,2653,125182569,FALSE,"{'text': 'Đã bán 1.4k', 'value': 1383}",3630000,TRUE,1,1/2/1789/28856,0,38963
184036446,5.68E+12,Apple iPhone 11,apple-iphone-11-p184036446,apple-iphone-11-p184036446.html?spid=32033721,Apple,9990000,0,3000000,23,4.8,2983,https://salt.tikicdn.com/cache/280x280/ts/product/a1/cd/ce/84a16c41ac07ce50d754e44a16ecbd1c.jpg,2647,32033721,FALSE,"{'text': 'Đã bán 5k+', 'value': 13962}",12990000,TRUE,1,1/2/1789/1795,0,1
184059211,5.45E+12,Apple iPhone 13,apple-iphone-13-hang-chinh-hang-p184059211,apple-iphone-13-hang-chinh-hang-p184059211.html?spid=123547399,Apple,14490000,0,10500000,42,5,1833,https://salt.tikicdn.com/cache/280x280/ts/product/b7/ba/88/66059a54a3a139d45841d412379b1fe4.jpg,2647,123547399,FALSE,"{'text': 'Đã bán 5k+', 'value': 5749}",24990000,TRUE,1,1/2/1789/1795,0,1
183330021,8.16E+12,Apple iPad 10.2-inch ( 9th Gen) Wi-Fi 2021,apple-ipad-10-2-inch-9th-gen-wi-fi-2021-p183330021,apple-ipad-10-2-inch-9th-gen-wi-fi-2021-p183330021.html?spid=124939769,Apple,6990000,0,4000000,36,5,944,https://salt.tikicdn.com/cache/280x280/ts/product/54/ff/25/bfdf0febe11a28eaa7cd3fa735a82c49.png,2645,124939769,FALSE,"{'text': 'Đã bán 3.2k', 'value': 3245}",10990000,TRUE,1,1/2/1789/1794,0,1
57809866,3.79E+12,Điện thoại Xiaomi Redmi 9A (2GB/32GB),dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866,dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866.html?spid=196161253,Xiaomi,1790000,0,700000,28,4.7,837,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/7f/fc/90/f2dda9bd72950fdebf74edd27e50ef4b.png,2647,196161253,FALSE,"{'text': 'Đã bán 5k+', 'value': 6152}",2490000,TRUE,1,1/2/1789/1795,0,1
125182567,3.95E+12,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567,may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567.html?spid=125182569,Kindle,3630000,0,0,0,5,378,https://salt.tikicdn.com/cache/280x280/ts/product/14/2f/c6/a161edd03cf817a13d4c3255d1467f0a.jpg,2653,125182569,FALSE,"{'text': 'Đã bán 1.4k', 'value': 1383}",3630000,TRUE,1,1/2/1789/28856,0,38963
