Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
716,Sách hướng nghiệp - Kỹ năng mềm,870,Sách kỹ năng sống,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6138,Sách Thai Giáo,2527,Sách Bà mẹ - Em bé,316,Sách tiếng Việt,8322,Nhà Sách Tiki
3271,Sách Kiến Thức - Kỹ Năng Cho Trẻ,2527,Sách Bà mẹ - Em bé,316,Sách tiếng Việt,8322,Nhà Sách Tiki
3320,Sách Làm Cha Mẹ,2527,Sách Bà mẹ - Em bé,316,Sách tiếng Việt,8322,Nhà Sách Tiki
3272,Sách Dinh Dưỡng - Sức Khỏe Cho Bé,2527,Sách Bà mẹ - Em bé,316,Sách tiếng Việt,8322,Nhà Sách Tiki
16660,Sách Giáo Khoa Cấp 1,2321,Sách Giáo Khoa - Giáo Trình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
16662,Sách Giáo Khoa Cấp 2,2321,Sách Giáo Khoa - Giáo Trình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
16664,Sách Giáo Khoa Cấp 3,2321,Sách Giáo Khoa - Giáo Trình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6991,Giáo Trình Đại Học - Cao Đẳng,2321,Sách Giáo Khoa - Giáo Trình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1856,Sách Học Tiếng Anh,887,Sách Học Ngoại Ngữ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1524,Sách Học Tiếng Nhật,887,Sách Học Ngoại Ngữ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1526,Sách Học Tiếng Hàn,887,Sách Học Ngoại Ngữ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1881,Sách Học Tiếng Hoa,887,Sách Học Ngoại Ngữ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1527,Ngoại Ngữ Khác,887,Sách Học Ngoại Ngữ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
2248,Sách tham khảo cấp I,2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
2249,Sách tham khảo cấp II,2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
2250,Sách tham khảo cấp III,2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
7971,Sách Luyện Thi Đại Học - Cao Đẳng,2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9997,Thẻ luyện thi,2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
18372,Sách chuyên đề,2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
898,Từ Điển Tiếng Anh,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
900,Từ Điển Tiếng Trung,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
899,Từ Điển Tiếng Hàn,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
901,Từ Điển Tiếng Nhật,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
902,Từ Điển Tiếng Pháp,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
903,Từ Điển Tiếng Việt,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
904,Từ Điển Ngôn Ngữ Khác,897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9733,Kiến Thức Bách Khoa,873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
886,Lĩnh vực khác,873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
7671,Sách Chiêm Tinh - Horoscope,873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
877,Sách giáo dục,873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
867,Sách Phong Thủy - Kinh Dịch,873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9120,Triết Học,873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9724,Lịch Sử Việt Nam,880,Sách Lịch sử,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9725,Lịch Sử Thế Giới,880,Sách Lịch sử,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9727,Âm Nhạc - Điện Ảnh,881,Điện Ảnh - Nhạc - Họa,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9728,Mỹ Thuật - Kiến Trúc,881,Điện Ảnh - Nhạc - Họa,316,Sách tiếng Việt,8322,Nhà Sách Tiki
4142,Sách Tô Màu Dành Cho Người Lớn,881,Điện Ảnh - Nhạc - Họa,316,Sách tiếng Việt,8322,Nhà Sách Tiki
858,Sách Danh Nhân,857,Sách Văn Hóa - Địa Lý - Du Lịch,316,Sách tiếng Việt,8322,Nhà Sách Tiki
859,Sách Địa Danh - Du Lịch,857,Sách Văn Hóa - Địa Lý - Du Lịch,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6992,Sách Phong Tục - Tập Quán,857,Sách Văn Hóa - Địa Lý - Du Lịch,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6993,Lý Luận Chính Trị,875,Sách Chính Trị - Pháp Lý,316,Sách tiếng Việt,8322,Nhà Sách Tiki
883,Luật - Văn Bản Luật,875,Sách Chính Trị - Pháp Lý,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9721,Tin Học Văn Phòng,876,Sách Công Nghệ Thông Tin,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9723,Lập Trình,876,Sách Công Nghệ Thông Tin,316,Sách tiếng Việt,8322,Nhà Sách Tiki
9722,Thiết Kế - Đồ Họa,876,Sách Công Nghệ Thông Tin,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6994,Sách Hôn Nhân - Giới Tính,868,Sách Tâm lý - Giới tính,316,Sách tiếng Việt,8322,Nhà Sách Tiki
850,Sách Tâm Lý Tuổi Teen,868,Sách Tâm lý - Giới tính,316,Sách tiếng Việt,8322,Nhà Sách Tiki
863,Chăm sóc sức khỏe,862,Sách Thường Thức - Gia Đình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6989,May - Thêu - Thời Trang,862,Sách Thường Thức - Gia Đình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
4902,Sách Làm Đẹp,862,Sách Thường Thức - Gia Đình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
865,Sách Nấu ăn,862,Sách Thường Thức - Gia Đình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1860,File Hồ Sơ - Bìa Hồ Sơ,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1864,Bút Viết Văn Phòng,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1861,Đồ Bấm - Kim Kẹp,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3897,Kẹp Bướm - Dây Đeo,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
