CategoryID,MasterCategoryID,Name
28620.0,8214,Phụ Kiện Chụp Hình
28624.0,8214,Phụ Kiện Chơi Game
1819.0,8214,Phụ Kiện Di Động Khác
69243.0,8214,Miếng dán màn hình điện thoại và máy tính bảng
28672.0,28670,Dụng Cụ Vệ Sinh và Sửa Chữa
7795.0,28670,Phụ Kiện Laptop
4880.0,28670,Webcam Máy Tính
28688.0,28670,Bút Trình Chiếu
1831.0,28670,Bàn Di Chuột - Miếng Lót Chuột
28690.0,28670,Phụ Kiện Phím Chuột Văn Phòng
28692.0,28670,Phụ Kiện Phím Chuột Chơi Game
28702.0,28670,Tai Nghe Máy Tính
28706.0,28670,Công Cụ Đồ Họa - Thiết Bị Cảm Ứng
12296.0,28670,Các Loại Cáp Chuyển Đổi
1892.0,1884,Nồi điện các loại
1885.0,1884,Bếp các loại
4875.0,1884,"Máy hút khói, khử mùi"
2022.0,1884,Lò vi sóng
2023.0,1884,Lò nướng điện
2044.0,1884,Vỉ nướng điện
2024.0,1884,"Máy xay, máy ép"
1931.0,1884,Bình đun siêu tốc
1932.0,1884,Bình thủy điện
1939.0,1884,Máy pha cà phê
8082.0,1884,Máy làm kem
2025.0,1884,Máy làm sữa đậu nành
2026.0,1884,Máy làm sữa chua
5363.0,1884,Máy làm mì sợi
2315.0,1884,Máy làm bánh
1942.0,1884,Siêu sắc thuốc
7239.0,1884,Máy làm tỏi đen
23818.0,1884,Máy sấy chén
9051.0,1884,Máy thái thực phẩm
23820.0,1884,Máy sấy thực phẩm
23822.0,1884,Máy hút chân không
23824.0,1884,Máy hàn miệng túi
23826.0,1884,Máy cắt thịt đông lạnh
8728.0,1884,Đồ dùng nhà bếp khác
2108.0,1884,Máy đánh trứng
1993.0,1946,"Bàn ủi, bàn là"
1997.0,1946,"Máy may, thêu, vắt sổ"
2001.0,1946,Quạt điện
2009.0,1946,Máy hút bụi
4876.0,1946,Cây Nước Nóng Lạnh
2010.0,1946,Máy lọc không khí
5614.0,1946,Máy tạo ẩm
5585.0,1946,Máy hút ẩm
5010.0,1946,Máy lọc nước
5976.0,1946,Máy sấy quần áo
5977.0,1946,Máy sấy tay
6510.0,1946,Thiết bị sưởi ấm
55946.0,1946,Thiết bị chăm sóc cá nhân
1601.0,1582,Mặt nạ
5872.0,1582,Xịt khoáng 
3424.0,1582,Chăm sóc vùng da mắt
2347.0,1582,"Nước hoa hồng, toner"
3422.0,1582,Kem chống nắng
3426.0,1582,Sản phẩm trị mụn và sẹo
17170.0,1582,Kem và sữa dưỡng da
17174.0,1582,Sản phẩm chăm sóc da mặt khác
53350.0,1582,Serum
8227.0,1582,Bộ chăm sóc da mặt
1583.0,1582,Sữa rửa mặt
8206.0,1582,Tẩy tế bào chết
11605.0,1582,Dung dịch tẩy trang
5893.0,1582,Chống lão hóa da
5865.0,1582,Bông tẩy trang
1589.0,1584,Dụng cụ trang điểm
1585.0,1584,Trang điểm mặt
1586.0,1584,Trang điểm mắt
1587.0,1584,Son & Trang điểm môi
53354.0,1584,Trang điểm khác
8228.0,1584,Bộ trang điểm
1752.0,1594,Dung dịch vệ sinh
17186.0,1594,Sản phẩm chăm sóc cá nhân khác
8300.0,1594,"Băng vệ sinh, cốc nguyệt san"
4408.0,1594,Khăn giấy ướt
3449.0,1594,Sản phẩm tẩy lông
17162.0,1594,"Lăn, xịt khử mùi"
11757.0,1592,Bộ chăm sóc toàn thân
8218.0,1592,Chăm sóc ngực
1610.0,1592,Dưỡng Thể
11755.0,1592,Kem tan mỡ
11733.0,1592,Massage toàn thân
1617.0,1592,Sản phẩm khử mùi
8212.0,1592,Tắm và dụng cụ tắm
1615.0,1592,Sản phẩm chống nắng
1619.0,1592,"Tẩy tế bào chết, massage"
11753.0,1592,Trị rạn nứt da
8308.0,1592,Sản phẩm sạch khuẩn
8309.0,1592,Sản phẩm chăm sóc cơ thể khác
8226.0,1592,Bộ chăm sóc cơ thể
8229.0,1592,Bộ chăm sóc tóc và da đầu
8220.0,1592,Tẩy tế bào chết cơ thể
8602.0,5873,Tinh dầu
8224.0,5873,Nến thơm
11868.0,5873,Sản phẩm thiên nhiên làm đẹp
8225.0,5873,Đèn xông
8222.0,1591,"Dầu gội, dầu xả"
1620.0,1591,Tạo kiểu tóc
1623.0,1591,Thuốc nhuộm tóc
7065.0,1591,"Dưỡng tóc, ủ tóc"
7061.0,1591,Bộ chăm sóc tóc
1636.0,1595,Nước hoa nữ
1637.0,1595,Nước hoa nam
68189.0,1595,Nước hoa vùng kín
68190.0,1595,Xịt thơm cơ thể
8167.0,2306,Dụng cụ làm đẹp khác
8166.0,2306,Dụng cụ tạo kiểu tóc
8165.0,2306,Dụng cụ tẩy lông
8164.0,2306,Massage thư giãn và làm đẹp
11937.0,2306,Máy xông da mặt
1634.0,2306,Dụng cụ cắt tóc
5905.0,2306,Máy & Dụng cụ rửa mặt 
11689.0,2306,Máy hút mụn
1590.0,2306,Chăm sóc móng
68283.0,2306,Dụng cụ tỉa lông mũi
68285.0,2306,"Đai, nịt làm đẹp"
11903.0,2307,Dụng cụ theo dõi sức khỏe
11925.0,2307,Máy xông mũi họng
11921.0,2307,"Que thử thai, rụng trứng"
2342.0,2307,Thiết bị y tế chuyên dụng
8172.0,2307,Thiết bị khác
11923.0,2307,Túi chườm
11927.0,2307,Máy đo bước
11929.0,2307,Dụng cụ sơ cứu
