InventoryID,ProductID,Status,Type,LastUpdated
141,273000944,available,backorder,2024-05-15 21:52:56.796016
142,270972089,available,backorder,2024-05-15 21:52:56.796016
143,270871441,available,backorder,2024-05-15 21:52:56.796016
144,271369952,available,backorder,2024-05-15 21:52:56.796016
145,272185398,available,backorder,2024-05-15 21:52:56.796016
146,270472129,available,backorder,2024-05-15 21:52:56.796016
147,216476196,available,backorder,2024-05-15 21:52:56.796016
148,263776862,available,backorder,2024-05-15 21:52:56.796016
149,251407352,available,backorder,2024-05-15 21:52:56.796016
150,274950334,available,backorder,2024-05-15 21:52:56.796016
151,273702279,available,backorder,2024-05-15 21:52:56.796016
152,273001445,available,backorder,2024-05-15 21:52:56.796016
153,270470894,available,backorder,2024-05-15 21:52:56.796016
154,270472442,available,backorder,2024-05-15 21:52:56.796016
155,270473244,available,backorder,2024-05-15 21:52:56.796016
156,216476472,available,backorder,2024-05-15 21:52:56.796016
157,216475428,available,backorder,2024-05-15 21:52:56.796016
158,217733148,available,backorder,2024-05-15 21:52:56.796016
159,102507839,available,backorder,2024-05-15 21:52:56.796016
160,270473211,available,backorder,2024-05-15 21:52:56.796016
161,216476481,available,backorder,2024-05-15 21:52:56.796016
162,216475813,available,backorder,2024-05-15 21:52:56.796016
163,206307879,available,backorder,2024-05-15 21:52:56.796016
164,271452666,available,backorder,2024-05-15 21:52:56.796016
165,273936362,available,backorder,2024-05-15 21:52:56.796016
166,206308253,available,backorder,2024-05-15 21:52:56.796016
167,216475525,available,backorder,2024-05-15 21:52:56.796016
168,272981897,available,backorder,2024-05-15 21:52:56.796016
169,271452782,available,backorder,2024-05-15 21:52:56.796016
170,216475993,available,backorder,2024-05-15 21:52:56.796016
171,252103804,available,backorder,2024-05-15 21:52:56.796016
172,174369385,available,backorder,2024-05-15 21:52:56.796016
173,273002214,available,backorder,2024-05-15 21:52:56.796016
174,196950771,available,backorder,2024-05-15 21:52:56.796016
175,58604881,available,backorder,2024-05-15 21:52:56.796016
176,203802104,available,backorder,2024-05-15 21:52:56.796016
177,274829635,available,backorder,2024-05-15 21:52:56.796016
178,274399493,available,backorder,2024-05-15 21:52:56.796016
179,269957790,available,backorder,2024-05-15 21:52:56.796016
180,271123389,available,backorder,2024-05-15 21:52:56.796016
181,273364945,available,backorder,2024-05-15 21:52:56.796016
182,273373657,available,backorder,2024-05-15 21:52:56.796016
183,142656943,available,backorder,2024-05-15 21:52:56.796016
184,44716149,available,backorder,2024-05-15 21:52:56.796016
185,3523311,available,backorder,2024-05-15 21:52:56.796016
186,193866366,available,backorder,2024-05-15 21:52:56.796016
187,27836739,available,backorder,2024-05-15 21:52:56.796016
188,99350582,available,backorder,2024-05-15 21:52:56.796016
189,274537662,available,backorder,2024-05-15 21:52:56.796016
190,274561381,available,backorder,2024-05-15 21:52:56.796016
191,216476863,available,backorder,2024-05-15 21:52:56.796016
192,242987059,available,backorder,2024-05-15 21:52:56.796016
193,275002377,available,backorder,2024-05-15 21:52:56.796016
194,274277209,available,backorder,2024-05-15 21:52:56.796016
195,274668746,available,backorder,2024-05-15 21:52:56.796016
196,273953565,available,backorder,2024-05-15 21:52:56.796016
197,252174127,available,backorder,2024-05-15 21:52:56.796016
198,270442059,available,backorder,2024-05-15 21:52:56.796016
199,216476963,available,backorder,2024-05-15 21:52:56.796016
200,270492353,available,backorder,2024-05-15 21:52:56.796016
201,274355568,available,backorder,2024-05-15 21:52:56.796016
202,216476678,available,backorder,2024-05-15 21:52:56.796016
203,109009765,available,backorder,2024-05-15 21:52:56.796016
204,274537486,available,backorder,2024-05-15 21:52:56.796016
205,273533192,available,backorder,2024-05-15 21:52:56.796016
206,274561334,available,backorder,2024-05-15 21:52:56.796016
207,275002323,available,backorder,2024-05-15 21:52:56.796016
208,14370763,available,backorder,2024-05-15 21:52:56.796016
209,21162350,available,backorder,2024-05-15 21:52:56.796016
210,10592531,available,backorder,2024-05-15 21:52:56.796016
211,7939591,available,backorder,2024-05-15 21:52:56.796016
