PricingID,ProductID,CurrentPrice,OriginalPrice,LastUpdated
54,272392885,11290000,11290000,2024-05-15 21:52:56.799030
55,19606283,7670000,7670000,2024-05-15 21:52:56.799030
56,274877316,8999000,8999000,2024-05-15 21:52:56.799030
57,273604740,3900000,3900000,2024-05-15 21:52:56.799030
58,262822431,2690000,2690000,2024-05-15 21:52:56.799030
59,111954198,7670000,7670000,2024-05-15 21:52:56.799030
60,272587446,2980000,2980000,2024-05-15 21:52:56.799030
61,220683274,9685000,9685000,2024-05-15 21:52:56.799030
62,143183383,2880000,2880000,2024-05-15 21:52:56.799030
63,274090985,2890000,2890000,2024-05-15 21:52:56.799030
64,222662899,29536000,29536000,2024-05-15 21:52:56.799030
65,270954207,7690000,7690000,2024-05-15 21:52:56.799030
66,143144589,3750000,3750000,2024-05-15 21:52:56.799030
67,270458462,4899000,4899000,2024-05-15 21:52:56.799030
68,220670406,9438000,9438000,2024-05-15 21:52:56.799030
69,247754766,5016000,5016000,2024-05-15 21:52:56.799030
70,70052318,20670000,20670000,2024-05-15 21:52:56.799030
71,220684346,8853000,8853000,2024-05-15 21:52:56.799030
72,270458103,3780000,3780000,2024-05-15 21:52:56.799030
73,220753749,7670000,7670000,2024-05-15 21:52:56.799030
74,199242727,13585000,13585000,2024-05-15 21:52:56.799030
75,197418115,24081000,24081000,2024-05-15 21:52:56.799030
76,212992227,14755000,14755000,2024-05-15 21:52:56.799030
77,220679413,8307000,8307000,2024-05-15 21:52:56.799030
78,192674407,23634000,23634000,2024-05-15 21:52:56.799030
79,183514058,13353000,13353000,2024-05-15 21:52:56.799030
80,270771620,7990000,7990000,2024-05-15 21:52:56.799030
81,272474227,6900000,6900000,2024-05-15 21:52:56.799030
82,248052660,12825000,12825000,2024-05-15 21:52:56.799030
83,273678387,6990000,6990000,2024-05-15 21:52:56.799030
84,57268501,7670000,7670000,2024-05-15 21:52:56.799030
85,98732914,7670000,7670000,2024-05-15 21:52:56.799030
86,108423866,8697000,8697000,2024-05-15 21:52:56.799030
87,57269938,5750000,5750000,2024-05-15 21:52:56.799030
88,262083816,5990000,5990000,2024-05-15 21:52:56.799030
89,201853988,7670000,7670000,2024-05-15 21:52:56.799030
90,75644952,15353000,15353000,2024-05-15 21:52:56.799030
