SubCategoryID,ProductID,BrandName
1795,217559440,Samsung
1795,219392186,OPPO
1795,201631518,Samsung
1795,213587929,Samsung
1795,273359931,Oukitel
1795,248655651,Samsung
1795,204802771,OPPO
1795,191764688,Xiaomi
1795,270544863,Samsung
1795,263060294,Samsung
1795,273029857,Samsung
1795,251448280,Samsung
1795,272056193,Xiaomi
1795,267178005,Samsung
1795,242712931,Samsung
1795,196197701,Samsung
1795,274542983,Samsung
1795,272328188,Samsung
1795,263438008,Masstel
1795,215746882,OPPO
1795,250111470,Xiaomi
1795,273411607,Samsung
1795,271972435,Apple
1795,273610105,Samsung
1795,274405521,Samsung
1795,205750556,OPPO
1795,219397711,Samsung
1795,168779225,Nokia
1795,273498357,Itel
1795,273958619,Xiaomi
1795,263675862,OPPO
1795,274380639,OPPO
1795,188900310,Nokia
