Title,Rating,Image URL
"BURGA Phone Case Compatible with iPhone 12 PRO MAX - Wireless Charging Compatible, Hybrid 2-Layer Hard Shell + Silicone Protective Case, Heavy Duty Protection, Slim Fit, Almond Latte",4.6 out of 5 stars,https://m.media-amazon.com/images/I/711FTwsY61L.__AC_SX300_SY300_QL70_ML2_.jpg
Case for iPhone 12 Pro Max - Anime Cartoon Kawaii Red&White Ball Pattern Hard PC and Inner Silicone Hybrid Dual Armor Defender Case for Apple iPhone iPhone 12 Pro Max,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61AKzZj4whL.__AC_SX300_SY300_QL70_ML2_.jpg
LifeProof FRĒ Series Waterproof Case for iPhone 12 Pro Max (Only) - Non-Retail Packaging - Frēe Diver (Ocean Depths/Peacock Blue),4.1 out of 5 stars,https://m.media-amazon.com/images/I/61TIiPiwsBL.__AC_SX300_SY300_QL70_ML2_.jpg
"Case-Mate Tough Series iPhone 12 Pro Max/iPhone 13 Pro Max Case 6.7"" - Clear - 15ft Drop Protection, Compatible with MagSafe & Wireless Charging - Anti Yellowing Lightweight Cover, Anti Scratch Tech",4.5 out of 5 stars,https://m.media-amazon.com/images/I/51Gah6kfs7L.__AC_SX300_SY300_QL70_ML2_.jpg
"ORIbox Glass Screen Protector for iPhone 12 Pro Max, 3 Packs Anti-Scratch HD Tempered Glass Screen Protector",4.5 out of 5 stars,https://m.media-amazon.com/images/I/716OeATLi7L.__AC_SX300_SY300_QL70_ML2_.jpg
LifeProof NEXT SERIES with MAGSAFE Case for IPhone 13 Pro Max & IPhone 12 Pro Max - PRECEDENTED GREEN,4.5 out of 5 stars,https://m.media-amazon.com/images/I/616sH3zHybL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox iPhone 13 Pro Max and iPhone 12 Pro Max (Only) - Symmetry Clear Series+ Case - Clear - Ultra-Sleek - Snaps to MagSafe - Raised Edges Protect Camera & Screen - Non-Retail Packaging,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61deIZt+qYL._AC_SY300_SX300_.jpg
"BEASTEK for iPhone 12 Pro Max Waterproof Case, FSN Series IP68 Magnetic Shockproof Case with Built-in Screen Protector and MagSafe Protective Cover, iPhone 12 Pro Max 6.7 inch (Red)",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71vq5W1knJL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox Symmetry Case with MagSafe for iPhone 12 PRO MAX (ONLY) Non-Retail Packaging - Navy Captain,4.6 out of 5 stars,https://m.media-amazon.com/images/I/81vCdrDzGvL.__AC_SX300_SY300_QL70_ML2_.jpg
Belkin ScreenForce TemperedGlass Treated Privacy Screen Protector for iPhone 15 Pro Max - Slim & Scratch-Resistant - Includes Easy Align Tray for Bubble Free Application,3.5 out of 5 stars,https://m.media-amazon.com/images/I/71rVPd+CX8L._AC_SY300_SX300_.jpg
OtterBox SYMMETRY SERIES Case for Apple iPhone 12 Pro Max - Cake Pop Pink,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61g7kn03S3L.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max Prefix Series Case - PACIFIC REEF, Ultra-thin, Pocket-Friendly, Raised Edges Protect Camera & Screen, Wireless Charging Compatible",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61a+8XUeiBL._AC_SY300_SX300_.jpg
BURGA Phone Case Compatible with iPhone 12 PRO MAX - Black Polka Dots Pattern - Cute But Tough with CloudGuard 2-in-1 Defense System - Luxury iPhone 12 PRO MAX Protective Scratch-Resistant Hard Case,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61KbEH+WegL._AC_SY300_SX300_.jpg
